Clause,Value
assignment,4.0
assignment,3.0
assignment,3.0
assignment,2.0
assignment,1.0
assignment,2.0
assignment,0.0
assignment,3.0
assignment,1.0
assignment,3.0
confidentiality,6.0
confidentiality,3.0
confidentiality,4.0
confidentiality,9.0
confidentiality,2.0
confidentiality,4.0
confidentiality,5.0
confidentiality,0.0
confidentiality,3.0
confidentiality,4.0
confidentiality,5.0
force-majeure,0.0
force-majeure,1.0
force-majeure,3.0
force-majeure,2.0
force-majeure,4.0
force-majeure,2.0
force-majeure,0.0
force-majeure,6.0
force-majeure,3.0
force-majeure,1.0
indemnity,3.0
indemnity,0.0
indemnity,1.0
indemnity,1.0
indemnity,3.0
indemnity,2.0
indemnity,6.0
indemnity,4.0
indemnity,1.0
indemnity,1.0
publicity,5.0
publicity,2.0
publicity,3.0
publicity,1.0
publicity,3.0
publicity,4.0
publicity,3.0
publicity,2.0
publicity,0.0
publicity,1.0
publicity,2.0
publicity,0.0
duration,1.0
duration,3.0
duration,1.0
duration,8.0
duration,5.0
duration,3.0
duration,2.0
duration,7.0
duration,5.0
duration,5.0
duration,5.0
duration,3.0
non-disparagement,3.0
non-disparagement,1.0
non-disparagement,1.0
non-disparagement,4.0
non-disparagement,1.0
non-disparagement,5.0
non-disparagement,1.0
non-disparagement,1.0
non-disparagement,3.0
non-disparagement,5.0
non-disparagement,1.0
non-disparagement,6.0
non-compete,2.0
non-compete,5.0
non-compete,3.0
non-compete,3.0
non-compete,1.0
non-compete,0.0
non-compete,1.0
non-compete,4.0
non-compete,4.0
non-compete,5.0
notice,1.0
notice,4.0
notice,1.0
notice,0.0
notice,1.0
notice,3.0
notice,5.0
notice,2.0
notice,3.0
notice,3.0
notice,1.0
notice,2.0
termination,3.0
termination,0.0
termination,4.0
termination,3.0
termination,2.0
termination,1.0
termination,1.0
termination,1.0
termination,2.0
termination,0.0
